,date,total_rides
1068,08/28/2022,293693
1069,08/27/2022,367604
1070,08/26/2022,534761
1071,08/25/2022,543557
1072,08/24/2022,548779
1073,08/23/2022,565687
1074,08/22/2022,492708
1075,08/21/2022,257138
1076,08/20/2022,360254
1077,08/19/2022,514995
1078,08/18/2022,538968
1079,08/17/2022,550737
1080,08/16/2022,560600
1081,08/15/2022,490603
1082,08/14/2022,275698
1083,08/13/2022,370526
1084,08/12/2022,532714
1085,08/11/2022,541345
1086,08/10/2022,510198
1087,08/09/2022,535893
1088,08/08/2022,498511
1089,08/07/2022,276312
1090,08/06/2022,362748
1091,08/05/2022,489414
1092,08/04/2022,534462
1093,08/03/2022,578630
1094,08/02/2022,576063
1095,08/01/2022,526975
1096,07/31/2022,277650
1097,07/30/2022,402185
1098,07/29/2022,537183
1099,07/28/2022,569407
1100,07/27/2022,569826
1101,07/26/2022,559134
1102,07/25/2022,487473
1103,07/24/2022,271937
1104,07/23/2022,352933
1105,07/22/2022,522344
1106,07/21/2022,551517
1107,07/20/2022,577924
1108,07/19/2022,568034
1109,07/18/2022,494008
1110,07/17/2022,285304
1111,07/16/2022,369496
1112,07/15/2022,555924
1113,07/14/2022,586568
1114,07/13/2022,589825
1115,07/12/2022,556067
1116,07/11/2022,523913
1117,07/10/2022,286199
1118,07/09/2022,300466
1119,07/08/2022,523097
1120,07/07/2022,536148
1121,07/06/2022,549127
1122,07/05/2022,508369
1123,07/04/2022,410280
1124,07/03/2022,317366
1125,07/02/2022,347770
1126,07/01/2022,517190
1127,06/30/2022,547662
1128,06/29/2022,563480
1129,06/28/2022,573184
1130,06/27/2022,499413
1131,06/26/2022,292684
1132,06/25/2022,396573
1133,06/24/2022,561629
1134,06/23/2022,547087
1135,06/22/2022,558235
1136,06/21/2022,576085
1137,06/20/2022,367715
1138,06/19/2022,326773
1139,06/18/2022,427905
1140,06/17/2022,581932
1141,06/16/2022,581072
1142,06/15/2022,608338
1143,06/14/2022,582057
1144,06/13/2022,549190
1145,06/12/2022,318691
1146,06/11/2022,410146
